level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
J,J04,J04B,J04BA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,Drugs for treatment of lepra
S,S01,S01E,S01EE,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Prostaglandin analogues 1)
V,V03,V03A,V03AC,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Iron chelating agents
C,C03,C03D,C03DA,CARDIOVASCULAR SYSTEM,DIURETICS,POTASSIUM-SPARING AGENTS,Aldosterone antagonists
C,C04,C04A,C04AA,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,2-amino-1-phenylethanol derivatives
V,V04,V04C,V04CB,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for fat absorption
C,C08,C08C,C08CX,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Other selective calcium channel blockers with mainly vascular effects
V,V09,V09A,V09AB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CENTRAL NERVOUS SYSTEM,Iodine (123I) compounds
C,C02,C02K,C02KD,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Serotonin antagonists
V,V09,V09X,V09XA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,Iodine (131I) compounds
D,D07,D07X,D07XC,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","Corticosteroids, potent, other combinations"
N,N04,N04B,N04BD,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Monoamine oxidase B inhibitors
A,A12,A12A,A12AA,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,CALCIUM,Calcium
A,A11,A11D,A11DA,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12","Vitamin B1, plain"
C,C03,C03B,C03BA,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES","Sulfonamides, plain"
D,D07,D07A,D07AB,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, moderately potent (group II)"
D,D05,D05B,D05BA,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR SYSTEMIC USE,Psoralens for systemic use
J,J06,J06B,J06BC,ANTIINFECTIVES FOR SYSTEMIC USE,IMMUNE SERA AND IMMUNOGLOBULINS,IMMUNOGLOBULINS,Other immunoglobulins
R,R03,R03C,R03CC,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,ADRENERGICS FOR SYSTEMIC USE,Selective beta-2-adrenoreceptor agonists
V,V04,V04C,V04CH,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for renal function and ureteral injuries
N,N07,N07A,N07AA,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,PARASYMPATHOMIMETICS,Anticholinesterases
S,S01,S01J,S01JA,SENSORY ORGANS,OPHTHALMOLOGICALS,DIAGNOSTIC AGENTS,Colouring agents
L,L01,L01B,L01BC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,Pyrimidine analogues
N,N02,N02C,N02CX,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,Other antimigraine preparations
S,S01,S01C,S01CC,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,"Antiinflammatory agents, non-steroids and antiinfectives in combination"
J,J06,J06A,J06AA,ANTIINFECTIVES FOR SYSTEMIC USE,IMMUNE SERA AND IMMUNOGLOBULINS,IMMUNE SERA,Immune sera
C,C05,C05C,C05CA,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,Bioflavonoids
C,C05,C05A,C05AD,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Local anesthetics
S,S03,S03B,S03BA,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CORTICOSTEROIDS,Corticosteroids
G,G01,G01A,G01AE,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Sulfonamides
D,D07,D07A,D07AA,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, weak (group I)"
R,R01,R01A,R01AA,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, plain"
S,S01,S01E,S01EX,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Other antiglaucoma preparations
V,V04,V04C,V04CE,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for liver functional capacity
G,G03,G03D,G03DC,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
G,G03,G03E,G03EA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and estrogens
V,V03,V03A,V03AH,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Drugs for treatment of hypoglycemia
D,D07,D07A,D07AC,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN","Corticosteroids, potent (group III)"
A,A02,A02B,A02BX,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
P,P01,P01A,P01AB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,Nitroimidazole derivatives
D,D08,D08A,D08AX,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Other antiseptics and disinfectants
R,R03,R03D,R03DA,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,Xanthines
A,A03,A03D,A03DA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,Synthetic anticholinergic agents in combination with analgesics
R,R02,R02A,R02AX,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,Other throat preparations
R,R03,R03A,R03AK,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS","Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
D,D08,D08A,D08AG,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Iodine products
V,V09,V09G,V09GB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CARDIOVASCULAR SYSTEM,Iodine (125I) compounds
N,N04,N04A,N04AA,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,ANTICHOLINERGIC AGENTS,Tertiary amines
C,C10,C10A,C10AA,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
G,G03,G03B,G03BA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,3-oxoandrosten (4) derivatives
N,N05,N05A,N05AX,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Other antipsychotics
N,N05,N05A,N05AL,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Benzamides
A,A16,A16A,A16AB,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Enzymes
A,A03,A03D,A03DB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,Belladonna and derivatives in combination with analgesics
J,J05,J05A,J05AG,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Non-nucleoside reverse transcriptase inhibitors
V,V09,V09A,V09AA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CENTRAL NERVOUS SYSTEM,Technetium (99mTc) compounds
C,C01,C01B,C01BD,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class III"
N,N05,N05A,N05AD,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Butyrophenone derivatives
N,N05,N05C,N05CH,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Melatonin receptor agonists
J,J01,J01C,J01CE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",Beta-lactamase sensitive penicillins
D,D01,D01A,D01AE,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,Other antifungals for topical use
J,J01,J01D,J01DE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Fourth-generation cephalosporins
G,G02,G02A,G02AD,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,Prostaglandins
A,A08,A08A,A08AA,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Centrally acting antiobesity products
N,N05,N05B,N05BB,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Diphenylmethane derivatives
J,J06,J06B,J06BA,ANTIINFECTIVES FOR SYSTEMIC USE,IMMUNE SERA AND IMMUNOGLOBULINS,IMMUNOGLOBULINS,"Immunoglobulins, normal human"
C,C03,C03B,C03BD,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Xanthine derivatives
A,A02,A02B,A02BA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),H2-receptor antagonists
C,C02,C02K,C02KC,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,MAO inhibitors
C,C03,C03A,C03AX,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, combinations with other drugs"
N,N02,N02B,N02BG,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,Other analgesics and antipyretics
C,C05,C05B,C05BA,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,ANTIVARICOSE THERAPY,Heparins or heparinoids for topical use
J,J01,J01X,J01XX,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Other antibacterials
D,D05,D05B,D05BB,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR SYSTEMIC USE,Retinoids for treatment of psoriasis
S,S01,S01C,S01CA,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,Corticosteroids and antiinfectives in combination
A,A03,A03A,A03AC,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic antispasmodics, amides with tertiary amines"
L,L02,L02A,L02AB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Progestogens
N,N05,N05A,N05AF,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Thioxanthene derivatives
A,A12,A12C,A12CD,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,OTHER MINERAL SUPPLEMENTS,Fluoride
G,G01,G01A,G01AD,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Organic acids
P,P01,P01A,P01AR,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,Arsenic compounds
B,B05,B05B,B05BB,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTIONS,Solutions affecting the electrolyte balance
D,D09,D09A,D09AB,DERMATOLOGICALS,MEDICATED DRESSINGS,MEDICATED DRESSINGS,Zinc bandages
J,J05,J05A,J05AD,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Phosphonic acid derivatives
N,N03,N03A,N03AB,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Hydantoin derivatives
D,D07,D07B,D07BC,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","Corticosteroids, potent, combinations with antiseptics"
A,A07,A07E,A07EA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,Corticosteroids acting locally
S,S02,S02A,S02AA,SENSORY ORGANS,OTOLOGICALS,ANTIINFECTIVES,Antiinfectives
N,N02,N02C,N02CC,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,Selective serotonin (5HT1) agonists
R,R03,R03D,R03DX,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,Other systemic drugs for obstructive airway diseases
J,J07,J07B,J07BA,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Encephalitis vaccines
C,C02,C02L,C02LX,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Other antihypertensives and diuretics
L,L02,L02B,L02BA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-estrogens
M,M09,M09A,M09AB,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,Enzymes
C,C07,C07C,C07CG,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND OTHER DIURETICS,Alpha and beta blocking agents and other diuretics
D,D11,D11A,D11AE,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,Androgens for topical use
N,N05,N05C,N05CA,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,"Barbiturates, plain"
J,J07,J07A,J07AD,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Brucellosis vaccines
M,M02,M02A,M02AA,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"Antiinflammatory preparations, non-steroids for topical use"
A,A02,A02A,A02AB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,Aluminium compounds
J,J01,J01D,J01DC,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Second-generation cephalosporins
H,H05,H05B,H05BX,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CALCIUM HOMEOSTASIS,ANTI-PARATHYROID AGENTS,Other anti-parathyroid agents
J,J07,J07A,J07AC,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Anthrax vaccines
C,C03,C03E,C03EB,CARDIOVASCULAR SYSTEM,DIURETICS,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,High-ceiling diuretics and potassium-sparing agents
P,P03,P03B,P03BX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",INSECTICIDES AND REPELLENTS,Other insecticides and repellents
L,L01,L01X,L01XX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Other antineoplastic agents
C,C09,C09X,C09XA,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
M,M01,M01A,M01AX,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","Other antiinflammatory and antirheumatic agents, non-steroids"
A,A10,A10B,A10BC,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Sulfonamides (heterocyclic)
C,C01,C01D,C01DB,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Quinolone vasodilators
L,L03,L03A,L03AA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Colony stimulating factors
N,N01,N01A,N01AX,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Other general anesthetics
A,A12,A12C,A12CA,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,OTHER MINERAL SUPPLEMENTS,Sodium
C,C02,C02L,C02LK,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,"Alkaloids, excl. rauwolfia, in combination with diuretics"
V,V09,V09E,V09EX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,RESPIRATORY SYSTEM,Other respiratory system diagnostic radiopharmaceuticals
C,C05,C05A,C05AA,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Corticosteroids
R,R06,R06A,R06AB,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Substituted alkylamines
R,R03,R03B,R03BC,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS","Antiallergic agents, excl. corticosteroids"
J,J01,J01D,J01DI,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Other cephalosporins and penems
J,J05,J05A,J05AB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
R,R05,R05D,R05DB,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",Other cough suppressants
C,C01,C01C,C01CX,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Other cardiac stimulants
S,S02,S02B,S02BA,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,Corticosteroids
G,G04,G04C,G04CA,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,Alpha-adrenoreceptor antagonists
J,J01,J01C,J01CR,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Combinations of penicillins, incl. beta-lactamase inhibitors"
L,L01,L01D,L01DB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,Anthracyclines and related substances
D,D07,D07C,D07CB,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","Corticosteroids, moderately potent, combinations with antibiotics"
N,N01,N01B,N01BB,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Amides
S,S01,S01B,S01BB,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,Corticosteroids and mydriatics in combination
N,N04,N04B,N04BA,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopa and dopa derivatives
R,R07,R07A,R07AB,RESPIRATORY SYSTEM,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,Respiratory stimulants
G,G02,G02C,G02CA,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,"Sympathomimetics, labour repressants"
L,L01,L01X,L01XD,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Sensitizers used in photodynamic/radiation therapy
V,V04,V04C,V04CD,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for pituitary function
N,N02,N02A,N02AA,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Natural opium alkaloids
A,A14,A14A,A14AA,ALIMENTARY TRACT AND METABOLISM,ANABOLIC AGENTS FOR SYSTEMIC USE,ANABOLIC STEROIDS,Androstan derivatives
C,C10,C10B,C10BA,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, COMBINATIONS",HMG CoA reductase inhibitors in combination with other lipid modifying agents
P,P02,P02C,P02CX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Other antinematodals
J,J01,J01E,J01EE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,"Combinations of sulfonamides and trimethoprim, incl. derivatives"
M,M03,M03B,M03BA,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",Carbamic acid esters
L,L01,L01A,L01AB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Alkyl sulfonates
J,J01,J01X,J01XE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Nitrofuran derivatives
N,N04,N04A,N04AB,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,ANTICHOLINERGIC AGENTS,Ethers chemically close to antihistamines
S,S01,S01E,S01EB,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Parasympathomimetics
N,N05,N05A,N05AB,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Phenothiazines with piperazine structure
C,C02,C02L,C02LG,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Hydrazinophthalazine derivatives and diuretics
N,N03,N03A,N03AG,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Fatty acid derivatives
B,B05,B05A,B05AA,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,BLOOD AND RELATED PRODUCTS,Blood substitutes and plasma protein fractions
L,L01,L01C,L01CB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,Podophyllotoxin derivatives
A,A05,A05A,A05AX,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Other drugs for bile therapy
A,A03,A03A,A03AE,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Serotonin receptor antagonists
L,L01,L01D,L01DA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,Actinomycines
R,R07,R07A,R07AA,RESPIRATORY SYSTEM,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,Lung surfactants
A,A10,A10B,A10BG,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Thiazolidinediones
